release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,6,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,107,57,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,16,4,13,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,5,29,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,5,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,71,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,3,7,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,13,52,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,34,40,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,2,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,8,36,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,75,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,3,1,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,15,56,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,6,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,3,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,6,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,15,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,5,27,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,3,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,24,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,1,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,5,26,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,18,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,1,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,5,26,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,18,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,4,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,5,26,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,1,0,no
3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java,12,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,2,0,no
