loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
-0.688953,-0.426431,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.561978,-1.293055,-0.585163,no
-0.324873,-0.47475,-0.151311,0.835813,-0.337444,-0.344981,-0.314771,-0.36324,-0.366257,-0.320339,-0.374384,-0.337066,0.011374,-0.200688,0.112852,0.954173,0.545048,-0.382471,1.003197,-0.39196,-0.382343,-0.46741,no
-0.353316,-0.281473,-0.402659,-0.506511,-0.337444,-0.142345,0.132318,0.67338,-0.092288,0.111871,0.558837,-0.223384,-0.696565,-0.873898,-0.714401,-0.645543,-0.502988,-0.382471,-0.207498,-0.255946,0.073013,-0.388908,no
-0.478469,-0.136515,-0.402659,-0.506511,-0.337444,-0.182149,0.050352,0.548531,-0.140896,0.035189,0.44885,-0.248394,-0.210518,0.317165,1.288424,-0.270099,-0.042436,-0.382471,-0.207498,-0.289949,-0.382343,-0.46741,no
-0.148521,0.411103,-0.276985,0.164651,-0.337444,0.168846,0.750792,0.542856,0.278895,0.690475,0.433852,-0.023301,0.317795,1.482336,1.266654,1.199028,1.707377,-0.382471,-0.207498,-0.119931,0.983725,-0.271155,no
-0.683264,-0.313686,-0.402659,-0.506511,-0.337444,-0.399259,-0.396738,-0.132459,-0.406027,-0.383079,-0.151077,-0.384813,-0.696565,-0.873898,-0.714401,-0.874074,-0.783324,-0.382471,-0.207498,-0.561978,-1.293055,-0.585163,no
-0.347628,-0.523069,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.561978,-0.837699,0.474611,no
0.386222,0.346677,-0.151311,0.835813,-0.013552,-0.457155,-0.56067,-0.480521,-0.54743,-0.613126,-0.511034,-0.380266,-0.14712,-0.200688,-0.104846,1.29697,1.558983,0.199018,-0.207498,1.342221,0.528369,0.239106,no
-0.057501,0.620486,-0.402659,-0.506511,-0.337444,0.273783,0.989239,1.978612,0.41588,0.913551,1.708699,0.038087,0.455156,1.948404,4.031423,-0.988339,-0.923492,0.199018,-0.207498,1.036189,0.528369,-0.114152,no
-0.512602,-0.490856,-0.402659,-0.506511,-0.337444,-0.308796,-0.21045,0.151287,-0.295556,-0.208801,0.098893,-0.327972,-0.622601,-0.692649,-0.409624,1.819326,2.520636,-0.382471,-0.207498,-0.561978,-0.837699,-0.506661,no
1.296423,-0.281473,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,0.199018,-0.207498,0.526136,0.528369,0.670866,no
-0.654821,-0.490856,-0.402659,-0.506511,-0.337444,-0.399259,-0.396738,-0.132459,-0.406027,-0.383079,-0.151077,-0.384813,-0.210518,0.317165,1.288424,-0.270099,-0.042436,-0.382471,-0.207498,-0.527974,-0.382343,-0.545912,no
-0.250919,-0.24926,-0.402659,-0.506511,-0.337444,-0.041027,0.34096,0.991175,0.03144,0.307063,0.838804,-0.159721,-0.210518,0.317165,1.288424,-0.939369,-0.86342,-0.382471,-0.207498,-0.017921,0.073013,-0.074901,no
-0.501224,-0.490856,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.527974,-0.382343,-0.506661,no
-0.506913,-0.410324,-0.276985,-0.506511,-0.337444,-0.290704,-0.188096,-0.177859,-0.27788,-0.187887,-0.196072,-0.31433,-0.390144,-0.381937,-0.191925,0.350199,0.63838,-0.382471,-0.207498,-0.561978,0.528369,-0.506661,no
-0.626377,-0.539175,-0.402659,-0.506511,-0.013552,-0.413733,-0.426544,-0.177859,-0.423702,-0.410963,-0.191073,-0.393908,-0.643734,-0.744435,-0.496703,-0.629219,-0.482964,-0.382471,-0.207498,-0.561978,-0.837699,-0.545912,no
1.734458,0.862082,-0.151311,0.835813,-0.337444,-0.475247,-0.575573,-0.499438,-0.569524,-0.641011,-0.527699,-0.396182,-0.094289,-0.356044,-0.03228,0.007402,0.160838,0.780507,0.397849,1.444232,0.983725,1.573636,no
0.198493,-0.47475,-0.276985,0.164651,-0.337444,-0.525906,-0.664991,-0.546729,-0.565105,-0.634039,-0.521033,-0.453023,-0.157686,-0.200688,0.287011,0.056373,0.182834,-0.382471,0.397849,0.016083,0.528369,0.121353,no
-0.398827,0.1534,-0.402659,-0.506511,-0.337444,-0.088067,0.24409,0.843627,-0.026006,0.216438,0.708819,-0.189279,-0.717698,-0.925683,-0.801481,-0.906721,-0.823372,-0.382471,0.397849,-0.255946,0.073013,-0.349657,no
-0.626377,-0.490856,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.561978,-0.837699,-0.585163,no
-0.171276,-0.523069,-0.402659,-0.506511,-0.337444,-0.051882,0.318605,0.957126,0.018183,0.28615,0.808807,-0.166542,-0.633168,-0.718542,-0.453163,-0.988339,-0.923492,-0.382471,-0.207498,-0.39196,-0.382343,-0.428159,no
-0.103011,-0.200941,1.231099,1.506974,-0.013552,-0.066356,-0.270062,-0.458362,0.199356,-0.034522,-0.406047,0.140402,2.790297,1.482336,0.109742,1.949915,1.868479,-0.382471,-0.207498,-0.357956,0.073013,-0.074901,no
-0.239541,-0.152622,-0.402659,-0.506511,-0.337444,-0.004842,0.415475,1.104674,0.075628,0.376774,0.938791,-0.136984,-0.210518,0.317165,1.288424,-0.514954,-0.342796,-0.382471,-0.207498,-0.561978,-0.837699,-0.545912,no
-0.222475,-0.490856,-0.276985,0.164651,-0.337444,-0.511432,-0.650088,-0.524029,-0.565105,-0.634039,-0.521033,-0.443928,-0.263349,-0.12301,0.069313,0.415493,-0.06246,-0.382471,-0.207498,-0.221942,0.528369,-0.388908,no
0.391911,-0.47475,-0.402659,-0.506511,-0.337444,-0.486103,-0.575573,-0.404856,-0.573943,-0.647982,-0.531032,-0.40755,-0.421843,-0.200688,0.41763,0.317552,0.678428,0.199018,0.397849,0.050086,0.073013,0.239106,no
-0.671887,-0.345898,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.561978,-1.293055,-0.585163,no
-0.569489,-0.490856,-0.276985,0.164651,-0.337444,-0.525906,-0.664991,-0.546729,-0.573943,-0.647982,-0.531032,-0.45757,-0.390144,-0.356044,-0.191925,0.57873,0.912041,-0.382471,-0.207498,-0.527974,-0.382343,-0.545912,no
1.267979,3.406894,0.602731,0.835813,1.28202,2.296525,2.174026,0.423683,1.140571,1.171483,-0.099972,2.207159,-0.104855,-0.589079,-0.636998,1.29697,1.700009,0.780507,-0.207498,1.444232,-0.382343,0.317608,no
-0.654821,0.233932,-0.402659,-0.506511,-0.337444,-0.529525,-0.664991,-0.541054,-0.569524,-0.641011,-0.521033,-0.464391,-0.622601,-0.692649,-0.409624,-0.351718,-0.142556,-0.382471,-0.207498,-0.323953,-1.293055,-0.585163,no
-0.632066,-0.088196,-0.276985,0.164651,-0.337444,-0.511432,-0.635185,-0.524029,-0.54743,-0.606155,-0.501035,-0.453023,0.338927,1.482336,1.310193,0.529759,0.658404,-0.382471,-0.207498,-0.49397,-1.293055,-0.585163,no
-0.302118,-0.47475,-0.402659,-0.506511,-0.337444,-0.533143,-0.672443,-0.552404,-0.569524,-0.641011,-0.521033,-0.464391,-0.421843,-0.200688,0.41763,-0.710838,-0.583084,-0.382471,0.397849,-0.49397,-0.382343,-0.545912,no
-0.626377,-0.539175,-0.402659,-0.506511,-0.013552,-0.413733,-0.426544,-0.177859,-0.423702,-0.410963,-0.191073,-0.393908,-0.643734,-0.744435,-0.496703,-0.531278,-0.36282,-0.382471,-0.207498,-0.561978,-0.837699,-0.545912,no
-0.683264,-0.394218,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.527974,-1.293055,-0.585163,no
-0.683264,-0.329792,-0.402659,-0.506511,-0.337444,-0.399259,-0.396738,-0.132459,-0.406027,-0.383079,-0.151077,-0.384813,-0.696565,-0.873898,-0.714401,-0.400688,-0.202628,-0.382471,-0.207498,-0.49397,-1.293055,-0.585163,no
-0.626377,-0.490856,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.561978,-0.837699,-0.585163,no
1.296423,-0.281473,-0.402659,-0.506511,-0.337444,-0.536762,-0.679894,-0.563753,1.445472,2.537825,4.038419,0.56785,-0.675433,-0.822113,-0.627322,-0.972016,-0.903468,0.199018,-0.207498,0.526136,0.528369,0.670866,no
-0.176965,-0.426431,-0.276985,0.164651,-0.337444,-0.297941,-0.188096,-0.189209,-0.291137,-0.208801,-0.21107,-0.312056,-0.252783,-0.200688,0.091083,0.954173,0.472467,-0.382471,1.608544,-0.49397,-0.382343,-0.153403,no
-0.029057,-0.442537,-0.276985,0.164651,-0.337444,0.042199,0.512344,0.344234,0.137492,0.467399,0.273871,-0.105153,-0.23165,-0.148903,0.134622,-0.580248,-0.42426,-0.382471,-0.207498,0.08409,0.528369,-0.153403,no
-0.176965,-0.168728,-0.151311,0.835813,-0.013552,0.002395,0.415475,-0.000044,0.075628,0.376774,-0.041091,-0.12789,-0.284481,-0.356044,-0.293518,-0.776132,-0.669811,-0.382471,-0.207498,-0.153935,0.528369,-0.074901,no
0.955098,-0.055983,-0.276985,-0.506511,-0.337444,0.841888,2.010093,1.598392,1.211273,1.868596,1.488725,0.538292,-0.390144,-0.381937,-0.191925,0.856232,0.994843,-0.382471,-0.207498,0.152097,2.349794,0.082102,no
-0.387449,-0.07209,0.100036,0.835813,-0.013552,-0.077212,0.169576,-0.275467,-0.0481,0.146727,-0.29306,-0.155174,0.86724,1.482336,0.400214,0.513435,0.731441,-0.382471,-0.207498,-0.425963,-0.382343,-0.46741,no
-0.580867,-0.539175,-0.402659,-0.506511,-0.337444,-0.366692,-0.329674,-0.030311,-0.366257,-0.320339,-0.061088,-0.36435,-0.633168,-0.718542,-0.453163,-0.057892,0.217876,-0.382471,-0.207498,-0.49397,0.073013,-0.310406,no
-0.683264,-0.345898,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.561978,-1.293055,-0.585163,no
-0.569489,-0.539175,-0.402659,-0.506511,-0.337444,-0.352218,-0.299868,0.015089,-0.348582,-0.292454,-0.021093,-0.355256,-0.633168,-0.718542,-0.453163,-0.025245,0.257924,-0.382471,-0.207498,-0.561978,-0.837699,-0.506661,no
-0.603622,-0.47475,-0.402659,-0.506511,-0.337444,-0.536762,-0.679894,-0.563753,-0.565105,-0.634039,-0.511034,-0.466665,-0.421843,-0.200688,0.41763,1.133733,1.679628,-0.382471,-0.207498,-0.561978,-1.293055,-0.545912,no
-0.535357,-0.539175,-0.402659,-0.506511,-0.337444,-0.518669,-0.642637,-0.507004,-0.551849,-0.613126,-0.481038,-0.459844,-0.643734,-0.744435,-0.496703,1.280646,1.859844,-0.382471,-0.207498,-0.561978,-0.837699,-0.585163,no
-0.461403,-0.539175,-0.276985,0.164651,-0.337444,-0.489721,-0.605379,-0.489979,-0.50766,-0.550386,-0.456041,-0.38254,0.10647,0.705555,0.831257,-0.172158,-0.035248,-0.382471,-0.207498,-0.39196,0.073013,-0.46741,no
-0.597933,-0.410324,-0.276985,0.164651,-0.337444,-0.500577,-0.612831,-0.507004,-0.538592,-0.592213,-0.491037,-0.443928,-0.48524,-0.666757,-0.387854,-0.286423,-0.129207,-0.382471,-0.207498,-0.49397,-0.837699,-0.545912,no
-0.660509,-0.47475,-0.276985,0.164651,-0.337444,-0.533143,-0.672443,-0.558079,-0.569524,-0.641011,-0.526032,-0.464391,-0.252783,-0.200688,0.091083,1.133733,1.025511,-0.382471,-0.207498,-0.561978,-0.837699,-0.585163,no
-0.660509,-0.47475,-0.276985,0.164651,-0.337444,-0.533143,-0.672443,-0.558079,-0.569524,-0.641011,-0.526032,-0.464391,-0.252783,-0.200688,0.091083,1.525501,1.506087,-0.382471,-0.207498,-0.561978,-0.837699,-0.585163,no
-0.643443,-0.47475,-0.276985,0.164651,-0.337444,-0.533143,-0.672443,-0.558079,-0.569524,-0.641011,-0.526032,-0.464391,-0.252783,-0.200688,0.091083,1.525501,1.506087,-0.382471,0.397849,-0.561978,-0.837699,-0.545912,no
0.07334,0.250039,-0.151311,0.835813,-0.337444,0.628396,0.877467,0.654463,0.495419,0.265236,0.275538,0.442799,0.507987,1.482336,0.794974,1.688737,1.377475,-0.382471,-0.207498,0.220104,0.073013,-0.46741,no
2.371598,-0.136515,-0.276985,-0.506511,-0.337444,1.934675,3.828257,3.312219,2.214352,3.569552,2.623589,1.199927,-0.390144,-0.381937,-0.191925,0.970497,1.153555,0.199018,0.397849,0.458129,1.439081,1.691389,no
-0.330561,-0.394218,-0.402659,-0.506511,-0.337444,-0.1532,0.109964,0.63933,-0.105545,0.090958,0.528841,-0.230204,-0.622601,-0.692649,-0.409624,-1.053634,-1.003588,-0.382471,-0.207498,-0.49397,-0.382343,-0.46741,no
-0.347628,-0.523069,-0.402659,-0.506511,-0.337444,-0.536762,-0.679894,-0.563753,-0.185084,-0.034522,0.348862,-0.27113,-0.675433,-0.822113,-0.627322,-1.020987,-0.96354,-0.382471,-0.207498,-0.561978,-0.837699,0.474611,no
-0.632066,-0.47475,-0.402659,-0.506511,-0.337444,-0.388403,-0.374383,-0.09841,-0.39277,-0.362165,-0.121081,-0.377992,0.455156,1.948404,4.031423,-0.988339,-0.923492,-0.382471,-0.207498,-0.561978,-0.837699,-0.545912,no
-0.609311,-0.47475,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.561978,-0.837699,-0.428159,no
-0.467092,0.1534,-0.402659,-0.506511,-0.337444,-0.109778,0.199382,0.775528,-0.052519,0.174612,0.648826,-0.202921,-0.495806,-0.381937,0.112852,-1.151576,-1.123732,-0.382471,-0.207498,-0.527974,-0.837699,-0.545912,no
