loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
4.85203,5.247024,2.197225,1.386294,0,7.172425,6.553933,5.098341,7.192182,6.553933,5.117994,7.720018,4.94876,3.951244,2.917771,4.094345,3.577022,0,0,2.564949,1.791759,1.609438,no
4.465908,3.806662,0.693147,0.693147,0,4.94876,4.94876,4.94876,4.94876,4.94876,4.94876,4.94876,3.218876,3.218876,3.218876,4.49981,4.49981,0,0,2.564949,2.079442,2.302585,no
4.488636,3.828641,1.098612,0.693147,0,5.010635,4.990433,4.324133,5.01728,4.990433,4.330733,5.056246,3.555348,3.218876,2.890372,4.553877,4.489788,0,0,2.302585,1.94591,1.791759,no
2.197225,3.091042,0.693147,0.693147,0,0,0,0,0.693147,0.693147,0.693147,0.693147,3.465736,3.465736,3.465736,4.532599,4.532599,0,0,1.098612,0.693147,0,no
4.043051,3.044522,0.693147,0.693147,0,4.465908,4.465908,4.465908,4.465908,4.465908,4.465908,4.465908,2.564949,2.564949,2.564949,5.220356,5.220356,0,0,2.397895,1.386294,0.693147,no
4.672829,3.663562,2.484907,1.386294,0.693147,4.744932,4.025352,2.430418,5.141664,4.488636,2.800602,5.459586,5.389072,4.204693,3.035827,4.564348,4.240404,0,0,2.197225,1.609438,2.564949,no
2.772589,3.828641,0.693147,0.693147,0,4.234107,4.234107,4.234107,4.234107,4.234107,4.234107,4.234107,2.079442,2.079442,2.079442,5.288267,5.288267,0,0,1.609438,1.098612,0.693147,no
4.779123,3.931826,1.098612,0.693147,0.693147,1.098612,1.098612,0.693147,1.386294,1.098612,0.916291,2.079442,3.367296,3.258097,2.70805,1.609438,1.488077,1.098612,0,3.295837,2.197225,3.295837,no
5.147494,4.60517,1.386294,1.386294,0,5.783825,5.398163,4.691348,5.726848,5.327876,4.634729,5.83773,4.65396,4.574711,3.574217,4.634729,3.478537,0.693147,0,3.7612,1.94591,1.609438,no
2.397895,4.189655,0.693147,0.693147,0,1.098612,1.098612,1.098612,0.693147,0.693147,0.693147,1.386294,2.564949,2.564949,2.564949,5.049856,5.049856,0,0,2.302585,0.693147,0,no
2.197225,2.890372,0.693147,0.693147,0,3.367296,3.367296,3.367296,3.367296,3.367296,3.367296,3.367296,3.555348,3.555348,3.555348,4.477337,4.477337,0,0,1.098612,1.098612,0,no
2.995732,3.091042,0.693147,0.693147,0,0,0,0,1.098612,1.098612,1.098612,1.098612,3.465736,3.465736,3.465736,4.912655,4.912655,0,0,1.098612,0.693147,0.693147,no
2.772589,3.828641,0.693147,0.693147,0,4.234107,4.234107,4.234107,4.234107,4.234107,4.234107,4.234107,2.079442,2.079442,2.079442,3.806662,3.806662,0,0,1.609438,1.098612,0.693147,no
5.869297,3.526361,0.693147,0.693147,0,0,0,0,6.126869,6.126869,6.126869,6.126869,2.079442,2.079442,2.079442,2.639057,2.639057,0.693147,0,3.555348,1.791759,3.496508,no
2.639057,3.091042,0.693147,0.693147,0,3.73767,3.73767,3.73767,3.73767,3.73767,3.73767,3.73767,2.564949,2.564949,2.564949,5.17615,5.17615,0,0,1.098612,1.098612,0,no
5.278115,3.091042,0.693147,0.693147,0,2.397895,2.397895,2.397895,0.693147,0.693147,0.693147,3.091042,3.465736,3.465736,3.465736,2.772589,2.772589,0,1.791759,2.944439,1.609438,3.044522,no
5.541264,2.890372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294,3.610918,1.791759,3.850148,no
4.043051,3.044522,0.693147,0.693147,0,4.465908,4.465908,4.465908,4.465908,4.465908,4.465908,4.465908,2.564949,2.564949,2.564949,2.197225,2.197225,0,0,2.397895,1.386294,0.693147,no
2.197225,3.610918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
1.791759,3.295837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294,0.693147,0,no
1.609438,3.295837,0.693147,0.693147,0,3.496508,3.496508,3.496508,3.496508,3.496508,3.496508,3.496508,3.367296,3.367296,3.367296,3.828641,3.828641,0,0,1.609438,0.693147,0,no
4.174387,2.944439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,1.098612,3.332205,no
2.70805,3.555348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294,1.098612,0,no
5.541264,2.890372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294,3.610918,1.791759,3.850148,no
1.791759,3.295837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
2.995732,3.091042,0.693147,0.693147,0,0,0,0,0.693147,0.693147,0.693147,0.693147,3.465736,3.465736,3.465736,3.401197,3.401197,0,0,1.386294,1.386294,0,no
2.944439,3.091042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,1.098612,1.609438,no
4.59512,4.343805,1.098612,1.098612,0,5.278115,5.26269,4.590057,5.267858,5.26269,4.579852,5.288267,4.624973,4.574711,3.941582,4.912655,4.893246,0,0,2.772589,1.94591,2.197225,no
3.951244,3.526361,1.791759,1.098612,0.693147,2.70805,1.609438,1.335001,2.302585,1.609438,1.029619,3.091042,3.850148,2.944439,2.322388,4.890349,4.472455,0,0,1.098612,1.098612,3.555348,no
4.934474,4.204693,1.386294,1.386294,0,5.777652,5.347108,4.685213,5.493061,4.882802,4.402646,5.998937,4.787492,4.574711,3.705409,5.17615,4.85133,0,0,3.258097,1.609438,1.386294,no
1.609438,3.367296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609438,0.693147,0,no
4.394449,3.091042,1.098612,1.098612,0,1.94591,1.791759,1.386294,1.609438,1.098612,1.098612,2.564949,4.382027,4.204693,3.701302,3.218876,2.397895,0,0,2.772589,1.791759,2.833213,no
5.278115,3.135494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791759,2.944439,1.609438,3.044522,no
3.78419,3.258097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294,1.098612,2.197225,no
5.918894,5.855072,1.791759,1.098612,0,7.329094,6.637258,5.722277,7.734121,6.638568,6.126432,7.73587,5.241747,5.081404,3.653252,4.290459,3.905155,1.098612,0,4.543295,2.302585,3.806662,no
3.555348,3.135494,1.098612,1.098612,0,2.772589,2.772589,2.140066,2.772589,2.639057,2.140066,2.995732,3.871201,3.465736,3.198673,5.117994,4.813467,0,1.098612,1.386294,1.098612,1.098612,no
3.850148,2.890372,1.098612,1.098612,0,4.26268,4.248495,3.583519,4.248495,4.248495,3.569533,4.276666,4.875197,4.574711,4.189655,4.727388,4.716359,0,0,1.94591,1.94591,1.386294,no
4.59512,2.890372,1.098612,1.098612,0,4.890349,4.882802,4.204693,4.882802,4.882802,4.197202,4.89784,4.875197,4.574711,4.189655,4.382027,4.373722,0.693147,0,3.135494,1.609438,2.564949,no
2.639057,3.73767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609438,0.693147,0,no
1.94591,3.295837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
3.218876,3.135494,0.693147,0.693147,0,0,0,0,1.098612,1.098612,1.098612,1.098612,3.465736,3.465736,3.465736,1.94591,1.94591,0,0,1.386294,1.098612,0,no
