Variable,Mean A,Mean B,Mean C,Correlation with NSmells,Correlation with Defectiveness
loc,122.2686,159.9397,35.7204,0.807*,0.360*
commentLines,50.0892,57.5089,33.0425,0.419*,0.333*
nRevisions,4.1077,5.3538,1.2447,0.481*,0.383*
nAuth,1.7375,2.0540,1.0103,0.447*,0.328*
nFix,1.0177,1.4174,0.0994,0.449*,0.524*
locAdded,145.1609,183.6262,56.7882,0.428*,0.304*
maxLocAdded,89.1066,104.9976,52.5977,0.353*,0.201*
avgLocAdded,48.9228,50.5509,45.1823,0.146*,0.036*
churn,126.4976,157.4239,55.4455,0.421*,0.240*
maxChurn,90.0900,106.4690,52.4599,0.332*,0.134*
avgChurn,51.7209,54.7793,44.6944,0.132*,-0.029*
locTouched,201.7269,263.1220,60.6737,0.500*,0.305*
changeSetSize,69.6610,83.2425,38.4578,0.340*,0.247*
maxChangeSet,38.4269,41.4520,31.4770,0.207*,0.116*
avgChangeSet,21.3600,19.4965,25.6412,-0.043*,-0.153*
age,72.0316,82.0922,48.9178,0.252*,0.071*
weightedAge,57.8829,64.3353,43.0587,0.172*,-0.023
cyclomaticComplexity,0.6051,0.8684,0.0000,0.634*,0.342*
duplication,0.3203,0.4597,0.0000,0.358*,0.035*
nBranches,18.1860,23.5734,5.8088,0.737*,0.348*
maxNestingDepth,3.8125,4.4785,2.2824,0.725*,0.319*
nSmells,13.6753,0.0000,0.0000,-,0.329*
