Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
DatasetClassiRealeseNormalized,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.02605181654E7,4329.0,482.0,464.0,18.0,0.0,96.2655601659751,3.7344398340248963,0.0,0.8356693688915828,0.03333911245409577,0.1557806375819252,14.466541982058946,45.907358101928544,272.3366817903761,108.31764908438043,164.01903270599564,0.565013862635635,0.22472541303813368,0.3402884495975013,223.9036635944619,0.4645304223951492,82.21575665918034,0.9808612440191388,410.0,0.15625,10.0,0.84375,54.0,0.019138755980861243,8.0,0.9761904761904762,0.9808612440191388,0.9785202863961813,0.8358087054642855,0.9838703648325359,0.996810475653457,0.9626556016597511,0.1380443576406123,0.8619556423593878,0.03734439834024896,0.9622189928039212,0.9626556016597511,0.9624037812671091,0.8358087054642855,0.983870364832536,0.9840987439746304,0.9178315717695191,0.9626556016597511,176.22,0.031,176.13,0.03,176130.0,30.0,363067.0,1043111.0,162148.0,98.54771784232365,52.489626556016596,?
DatasetClassiRealeseNormalized,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.02605181656E7,4330.0,481.0,462.0,19.0,0.0,96.04989604989605,3.95010395010395,0.0,0.8253015502838684,0.045416957202762696,0.19400749758769256,19.80842539057775,57.50370031846866,269.42867131105754,200.54647870194273,68.88219260911481,0.5601427677984564,0.4169365461578851,0.14320622164057134,198.9192896044215,0.41355361664120893,73.83003770031868,0.9784688995215312,409.0,0.15873015873015872,10.0,0.8412698412698413,53.0,0.0215311004784689,9.0,0.9761336515513126,0.9784688995215312,0.977299880525687,0.8253364386879294,0.9705323915850231,0.9937772328011342,0.9604989604989606,0.1407602197075881,0.8592397802924119,0.0395010395010395,0.9602467880626323,0.9604989604989606,0.9603645531387466,0.8253364386879294,0.9705323915850232,0.972313068339568,0.9126499402628434,0.9604989604989606,159.87,0.033,159.77,0.03,159770.0,30.0,571975.0,1043340.0,161919.0,96.88149688149689,52.07900207900208,?
DatasetClassiRealeseNormalized,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.02605181658E7,4330.0,481.0,467.0,14.0,0.0,97.0893970893971,2.9106029106029108,0.0,0.8738384292565947,0.03163462942497641,0.16826273714195852,13.716212265237523,49.54216657994521,272.1308087156738,162.85788249728992,109.2729262183839,0.565760517080403,0.33858187629374203,0.22717864078666092,224.28433700886512,0.46628760292903354,82.41784091532267,0.9832134292565947,410.0,0.109375,7.0,0.890625,57.0,0.016786570743405275,7.0,0.9832134292565947,0.9832134292565947,0.9832134292565947,0.8738384292565947,0.9430080935251799,0.9853198501974709,0.9708939708939709,0.09705554163737617,0.9029444583626238,0.029106029106029108,0.9708939708939709,0.9708939708939709,0.9708939708939709,0.8738384292565947,0.9430080935251798,0.9622817863670112,0.9369192146282974,0.9708939708939709,112.311,0.035,112.24,0.03,112240.0,30.0,782840.0,1043340.0,161919.0,97.29729729729729,50.935550935550935,?
DatasetClassiRealeseNormalized,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.026051817E7,4330.0,481.0,464.0,17.0,0.0,96.46569646569647,3.5343035343035343,0.0,0.845783905097788,0.034909116987935584,0.1832526853110594,15.135971791105964,53.95570769922345,272.1308087156738,191.8208999373167,80.30990877835711,0.565760517080403,0.3987960497657312,0.16696446731467174,219.82762924096514,0.45702209821406475,80.7801330097263,0.9808153477218226,409.0,0.140625,9.0,0.859375,55.0,0.019184652278177457,8.0,0.9784688995215312,0.9808153477218226,0.9796407185628744,0.8458187081863575,0.9235611510791367,0.9791733959378363,0.9646569646569647,0.12446661693514212,0.875533383064858,0.035343035343035345,0.9644377275956224,0.9646569646569647,0.964538982342745,0.8458187081863575,0.9235611510791367,0.9548845236059001,0.9228912254231695,0.9646569646569647,130.372,0.034,130.28,0.03,130280.0,30.0,711180.0,1043340.0,161919.0,96.88149688149689,50.41580041580042,?
DatasetClassiRealeseNormalized,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.02605181702E7,4330.0,481.0,465.0,16.0,0.0,96.67359667359668,3.3264033264033266,0.0,0.8576975703561259,0.03477167201141903,0.18326125387998707,15.076378095622266,53.958230571942494,272.1308087156738,196.48884402958691,75.64196468608691,0.565760517080403,0.40850071523822645,0.15725980184217653,219.65190910678854,0.4566567756897891,80.71556107279423,0.9784172661870504,408.0,0.109375,7.0,0.890625,57.0,0.02158273381294964,9.0,0.983132530120482,0.9784172661870504,0.9807692307692308,0.8578332928763902,0.9342213729016786,0.9824335422680088,0.9667359667359667,0.09769370054891638,0.9023062994510836,0.033264033264033266,0.9672328322930732,0.9667359667359667,0.9669518631057094,0.8578332928763902,0.9342213729016786,0.956236019315635,0.9288461538461539,0.9667359667359667,108.532,0.038,108.47,0.03,108470.0,30.0,817634.0,1043340.0,161919.0,96.67359667359668,50.311850311850314,?
DatasetClassiRealeseNormalized,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.02605181704E7,4330.0,481.0,461.0,20.0,0.0,95.84199584199584,4.158004158004158,0.0,0.8097009020414622,0.048523943806369846,0.19760611693934318,21.039118374155656,58.18183710137596,272.1308087156738,219.37857118246478,52.75223753320904,0.565760517080403,0.4560885055768499,0.1096720115035531,196.2797327783528,0.40806597251216803,72.12697955982951,0.9856115107913669,411.0,0.21875,14.0,0.78125,50.0,0.014388489208633094,6.0,0.9670588235294117,0.9856115107913669,0.9762470308788599,0.8120569297388033,0.9560289268585132,0.9907255150283818,0.9584199584199584,0.1915584476285915,0.8084415523714085,0.04158004158004158,0.9571858348328937,0.9584199584199584,0.9572314869226983,0.8120569297388033,0.9560289268585133,0.9711250708647908,0.9047901821060966,0.9584199584199584,138.081,0.032,137.98,0.03,137980.0,30.0,641602.0,1043340.0,161919.0,96.67359667359668,52.39085239085239,?
DatasetClassiRealeseNormalized,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.02605181706E7,4330.0,481.0,465.0,16.0,0.0,96.67359667359668,3.3264033264033266,0.0,0.8576975703561259,0.03424633492603493,0.17800778312849555,14.84860128568624,52.41143341700449,272.1308087156738,178.09235561186478,94.03845310380905,0.565760517080403,0.3702543775714444,0.1955061395089585,220.7809449639253,0.4590040435840443,81.130448259756,0.9784172661870504,408.0,0.109375,7.0,0.890625,57.0,0.02158273381294964,9.0,0.983132530120482,0.9784172661870504,0.9807692307692308,0.8578332928763902,0.9539306055155875,0.9868846671609574,0.9667359667359667,0.09769370054891638,0.9023062994510836,0.033264033264033266,0.9672328322930732,0.9667359667359667,0.9669518631057094,0.8578332928763902,0.9539306055155875,0.9617377913586033,0.9288461538461539,0.9667359667359667,109.684,0.036,109.61,0.03,109610.0,30.0,817643.0,1043340.0,161919.0,97.0893970893971,50.727650727650726,?
DatasetClassiRealeseNormalized,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.02605181708E7,4330.0,481.0,471.0,10.0,0.0,97.92099792099792,2.079002079002079,0.0,0.9110609814725786,0.0238951194731526,0.1481391789007041,10.360498502890747,43.617119290786086,272.1308087156738,124.57193454729776,147.55887416837606,0.565760517080403,0.25898531090914295,0.30677520617126003,235.49618862341143,0.4895970657451381,86.53786380705655,0.9856115107913669,411.0,0.0625,4.0,0.9375,60.0,0.014388489208633094,6.0,0.9903614457831326,0.9856115107913669,0.9879807692307692,0.9112051482474346,0.9649467925659473,0.9900058830587196,0.9792099792099792,0.0560984684186123,0.9439015315813877,0.02079002079002079,0.9795479024394688,0.9792099792099792,0.9793449144410682,0.9112051482474346,0.9649467925659473,0.9719368126063046,0.955528846153846,0.9792099792099792,94.171,0.036,94.11,0.04,94110.0,40.0,852427.0,1043340.0,161919.0,97.92099792099792,50.51975051975052,?
DatasetClassiRealeseNormalized,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.0260518170900002E7,4330.0,481.0,462.0,19.0,0.0,96.04989604989605,3.95010395010395,0.0,0.8299056375514157,0.038856219074966995,0.1947969057059655,16.847365002987257,57.354711540207695,272.1308087156738,219.741845604006,52.388963111667834,0.565760517080403,0.4568437538544823,0.10891676322592066,214.7480575912101,0.44646165819378403,78.91354110352935,0.9760191846522782,407.0,0.140625,9.0,0.859375,55.0,0.023980815347721823,10.0,0.9783653846153846,0.9760191846522782,0.9771908763505401,0.8299388956535205,0.9342213729016786,0.9810405332714024,0.9604989604989606,0.1251047758466823,0.8748952241533177,0.0395010395010395,0.96077382856229,0.9604989604989606,0.9606283551954843,0.8299388956535205,0.9342213729016786,0.9508699165378927,0.9149520273225569,0.9604989604989606,93.185,0.035,93.12,0.04,93120.0,40.0,852439.0,1043340.0,161919.0,96.25779625779626,50.20790020790021,?
DatasetClassiRealeseNormalized,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.lazy.IBk -F 5 -T 0.01 -R 1 -E AUC -- -K 1 -W 0 -A \\\\\\\\\\\\\\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"\\\\\\\\\\\\\\\"\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,2.0260518171200003E7,4330.0,481.0,463.0,18.0,0.0,96.25779625779626,3.7422037422037424,0.0,0.8356179988608315,0.03744918892085274,0.18529060236663233,16.237301771388793,54.55573850793499,272.1308087156738,190.91347801522966,81.21733070044417,0.565760517080403,0.39690951770318017,0.1688509993772228,217.0932902642462,0.4513374017967697,79.77534454434684,0.9808153477218226,409.0,0.15625,10.0,0.84375,54.0,0.019184652278177457,8.0,0.9761336515513126,0.9808153477218226,0.9784688995215312,0.8357574140120331,0.9339028776978417,0.9824203703010721,0.9625779625779626,0.13801261485614005,0.86198738514386,0.037422037422037424,0.9621406822884997,0.9625779625779626,0.9623257254836203,0.835757414012033,0.9339028776978416,0.9565476882911872,0.9178058783321941,0.9625779625779626,150.7,0.033,150.62,0.04,150620.0,40.0,606788.0,1043340.0,161919.0,96.88149688149689,50.935550935550935,?
