Dataset,Classifier,FS,Balancing,Precision_Mean,Precision_CI95_Lower,Precision_CI95_Upper,Recall_Mean,Recall_CI95_Lower,Recall_CI95_Upper,AUC_Mean,AUC_CI95_Lower,AUC_CI95_Upper,Kappa_Mean,Kappa_CI95_Lower,Kappa_CI95_Upper,Num_Folds,NPofB20
DatasetClassiRealeseNormalized,Ibk,No,No,0.9774,0.9761,0.9788,0.981,0.9798,0.9821,0.9301,0.9259,0.9343,0.8411,0.8335,0.8487,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,Ibk,No,Yes,0.9823,0.981,0.9836,0.9639,0.9622,0.9656,0.935,0.9307,0.9393,0.8084,0.8006,0.8161,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,Ibk,Yes,No,0.9575,0.9545,0.9605,0.9738,0.9718,0.9758,0.8993,0.8932,0.9054,0.7231,0.7039,0.7423,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,Ibk,Yes,Yes,0.9685,0.9662,0.9708,0.9405,0.9362,0.9447,0.9028,0.8965,0.909,0.6885,0.6695,0.7075,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,NaiveBayes,No,No,0.93,0.9282,0.9317,0.9253,0.923,0.9277,0.8922,0.8882,0.8963,0.4631,0.4523,0.4739,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,NaiveBayes,No,Yes,0.9332,0.9314,0.935,0.9196,0.9172,0.9221,0.9025,0.8988,0.9061,0.4697,0.4594,0.48,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,NaiveBayes,Yes,No,0.9424,0.9399,0.9449,0.9575,0.9542,0.9607,0.9397,0.9359,0.9435,0.6001,0.5852,0.6151,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,NaiveBayes,Yes,Yes,0.967,0.9637,0.9703,0.9119,0.9054,0.9184,0.9477,0.9442,0.9512,0.6111,0.5975,0.6246,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,RandomForest,No,No,0.9693,0.9678,0.9708,0.9856,0.9845,0.9867,0.9858,0.9846,0.9871,0.8192,0.8108,0.8276,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,RandomForest,No,Yes,0.9858,0.9848,0.9868,0.9663,0.9645,0.968,0.9849,0.9837,0.9861,0.8301,0.8236,0.8365,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,RandomForest,Yes,No,0.964,0.9624,0.9656,0.9799,0.9783,0.9815,0.979,0.9774,0.9806,0.7758,0.7655,0.7862,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,RandomForest,Yes,Yes,0.9878,0.9868,0.9889,0.9245,0.9193,0.9296,0.9774,0.9757,0.9791,0.7257,0.7127,0.7388,100,TO_CALCULATE_LATER
