projectKey,idTicket,ticketKey,creationDateTicket,resolutionDateTicket,fixVersion,fixVersionReleaseDate,affectedVersionsCount,affectedVersions,openingVersion,openingVersionReleaseDate,injectionVersion,injectionVersionReleaseDate
ZOOKEEPER,13633310,ZOOKEEPER-4989,2025-11-04T12:47:22,2025-11-10T13:26:18,3.9.5,2026-03-06,1,3.9.4,3.8.5,2025-09-18,3.9.4,2025-08-29
ZOOKEEPER,13628539,ZOOKEEPER-4974,2025-09-10T07:33:50,2025-09-12T20:04:48,3.9.5,2026-03-06,5,3.9.2|3.9.3|3.9.4|3.8.5|3.8.6,3.9.4,2025-08-29,3.9.2,2024-03-12
ZOOKEEPER,13626447,ZOOKEEPER-4958,2025-08-15T10:56:32,2025-12-14T13:49:36,3.9.5,2026-03-06,2,3.8.4|3.9.3,3.9.3,2024-10-24,3.8.4,2024-03-05
ZOOKEEPER,13621180,ZOOKEEPER-4940,2025-06-18T04:12:18,2025-07-29T20:04:32,3.9.4,2025-08-29,1,3.9.3,3.9.3,2024-10-24,3.9.3,2024-10-24
ZOOKEEPER,13618680,ZOOKEEPER-4932,2025-05-20T14:59:34,2025-08-25T22:01:26,3.9.4,2025-08-29,2,3.9.2|3.9.3,3.9.3,2024-10-24,3.9.2,2024-03-12
ZOOKEEPER,13616749,ZOOKEEPER-4925,2025-04-30T02:21:36,2025-06-10T17:41:26,3.9.4,2025-08-29,1,3.9.3,3.9.3,2024-10-24,3.9.3,2024-10-24
ZOOKEEPER,13616163,ZOOKEEPER-4921,2025-04-23T17:51:59,2025-05-11T02:20:55,3.9.4,2025-08-29,1,3.9.3,3.9.3,2024-10-24,3.9.3,2024-10-24
ZOOKEEPER,13612043,ZOOKEEPER-4907,2025-03-17T09:56:48,2025-03-25T10:40:38,3.9.4,2025-08-29,2,3.9.2|3.9.3,3.9.3,2024-10-24,3.9.2,2024-03-12
ZOOKEEPER,13599957,ZOOKEEPER-4890,2024-11-25T19:53:16,2025-08-25T20:27:43,3.9.4,2025-08-29,2,3.9.2|3.9.3,3.9.3,2024-10-24,3.9.2,2024-03-12
ZOOKEEPER,13594841,ZOOKEEPER-4872,2024-10-10T00:28:13,2024-11-27T01:19:20,3.9.4,2025-08-29,3,3.9.1|3.9.2|3.9.3,3.9.2,2024-03-12,3.9.1,2023-10-09
ZOOKEEPER,13594826,ZOOKEEPER-4871,2024-10-09T21:11:01,2025-09-17T20:51:45,3.9.5,2026-03-06,7,3.9.1|3.8.4|3.9.2|3.9.3|3.9.4|3.8.5|3.8.6,3.9.2,2024-03-12,3.9.1,2023-10-09
ZOOKEEPER,13591355,ZOOKEEPER-4858,2024-09-07T01:49:39,2024-12-21T04:15:52,3.9.4,2025-08-29,4,3.9.0|3.9.1|3.9.2|3.9.3,3.9.2,2024-03-12,3.9.0,2023-08-03
ZOOKEEPER,13588088,ZOOKEEPER-4848,2024-08-07T06:06:10,2024-10-18T01:45:04,3.9.4,2025-08-29,2,3.8.4|3.9.2,3.9.2,2024-03-12,3.8.4,2024-03-05
ZOOKEEPER,13582975,ZOOKEEPER-4839,2024-06-18T03:27:21,2024-09-25T00:47:01,3.9.3,2024-10-24,2,3.5.10|3.9.2,3.9.2,2024-03-12,3.5.10,2022-06-04
ZOOKEEPER,13573337,ZOOKEEPER-4819,2024-03-26T12:15:19,2024-11-27T01:55:21,3.9.4,2025-08-29,2,3.8.4|3.9.2,3.9.2,2024-03-12,3.8.4,2024-03-05
ZOOKEEPER,13571158,ZOOKEEPER-4814,2024-03-07T15:08:37,2024-08-11T16:14:48,3.9.3,2024-10-24,1,3.9.0,3.8.4,2024-03-05,3.9.0,2023-08-03
ZOOKEEPER,13569151,ZOOKEEPER-4810,2024-02-20T07:30:42,2025-06-23T07:33:42,3.9.4,2025-08-29,9,3.8.1|3.8.2|3.9.0|3.7.2|3.8.3|3.9.1|3.8.4|3.9.2|3.9.3,3.7.2,2023-10-09,3.8.1,2023-01-30
ZOOKEEPER,13567851,ZOOKEEPER-4804,2024-02-08T07:56:56,2024-03-09T05:32:07,3.9.3,2024-10-24,1,3.8.3,3.7.2,2023-10-09,3.8.3,2023-10-09
ZOOKEEPER,13564433,ZOOKEEPER-4785,2024-01-12T00:00:54,2024-03-20T19:10:24,3.9.2,2024-03-12,7,3.8.0|3.7.1|3.8.1|3.8.2|3.7.2|3.9.1|3.8.4,3.7.2,2023-10-09,3.8.0,2022-03-07
ZOOKEEPER,13554175,ZOOKEEPER-4762,2023-10-16T06:34:57,2024-03-20T19:06:50,3.8.4,2024-03-05,1,3.8.3,3.7.2,2023-10-09,3.8.3,2023-10-09
ZOOKEEPER,13553625,ZOOKEEPER-4758,2023-10-11T06:27:56,2024-03-20T19:07:12,3.8.4,2024-03-05,1,3.8.3,3.7.2,2023-10-09,3.8.3,2023-10-09
ZOOKEEPER,13547329,ZOOKEEPER-4736,2023-08-15T03:48:56,2025-10-30T20:22:25,3.9.5,2026-03-06,4,3.7.0|3.6.3|3.8.0|3.9.0,3.9.0,2023-08-03,3.7.0,2021-03-27
ZOOKEEPER,13546203,ZOOKEEPER-4733,2023-08-05T01:13:59,2024-09-10T16:46:01,3.9.3,2024-10-24,1,3.8.2,3.9.0,2023-08-03,3.8.2,2023-07-18
ZOOKEEPER,13544969,ZOOKEEPER-4725,2023-07-26T13:23:06,2025-03-24T18:55:43,3.9.4,2025-08-29,1,3.8.2,3.8.2,2023-07-18,3.8.2,2023-07-18
ZOOKEEPER,13543217,ZOOKEEPER-4719,2023-07-12T05:43:02,2023-07-17T10:22:14,3.9.0,2023-08-03,3,3.6.4|3.8.1|3.8.2,3.8.1,2023-01-30,3.6.4,2022-12-22
ZOOKEEPER,13541926,ZOOKEEPER-4712,2023-06-29T10:59:11,2024-09-20T19:10:41,3.9.3,2024-10-24,9,3.7.0|3.6.3|3.8.0|3.7.1|3.5.10|3.6.4|3.8.1|3.9.0|3.9.1,3.8.1,2023-01-30,3.7.0,2021-03-27
ZOOKEEPER,13537544,ZOOKEEPER-4699,2023-05-24T20:12:28,2024-10-18T01:52:55,3.9.4,2025-08-29,1,3.8.1,3.8.1,2023-01-30,3.8.1,2023-01-30
ZOOKEEPER,13469082,ZOOKEEPER-4565,2022-06-29T11:06:30,2022-07-26T07:40:22,3.7.2,2023-10-09,5,3.6.3|3.8.0|3.7.1|3.8.1|3.9.0,3.5.10,2022-06-04,3.6.3,2021-04-13
ZOOKEEPER,13446965,ZOOKEEPER-4549,2022-05-26T07:58:09,2022-06-17T11:31:09,3.9.0,2023-08-03,7,3.6.3|3.8.0|3.7.1|3.5.10|3.6.4|3.8.1|3.8.2,3.7.1,2022-05-12,3.6.3,2021-04-13
ZOOKEEPER,13437158,ZOOKEEPER-4508,2022-04-01T07:37:35,2024-09-23T22:27:32,3.9.3,2024-10-24,3,3.7.0|3.6.3|3.8.0,3.8.0,2022-03-07,3.7.0,2021-03-27
ZOOKEEPER,13429906,ZOOKEEPER-4475,2022-02-22T10:43:10,2023-02-22T09:23:26,3.9.0,2023-08-03,2,3.7.0|3.6.3,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13429617,ZOOKEEPER-4471,2022-02-21T04:05:06,2023-06-13T13:35:12,3.9.0,2023-08-03,2,3.7.0|3.6.3,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13427917,ZOOKEEPER-4466,2022-02-11T04:09:58,2023-05-05T07:59:17,3.9.0,2023-08-03,2,3.6.3|3.6.4,3.6.3,2021-04-13,3.6.3,2021-04-13
ZOOKEEPER,13427625,ZOOKEEPER-4465,2022-02-10T01:20:25,2022-02-15T11:31:12,3.8.0,2022-03-07,1,3.6.2,3.6.3,2021-04-13,3.6.2,2020-09-09
ZOOKEEPER,13419975,ZOOKEEPER-4433,2021-12-30T06:48:04,2022-02-08T15:51:59,3.5.10,2022-06-04,1,3.5.9,3.6.3,2021-04-13,3.5.9,2021-01-14
ZOOKEEPER,13411703,ZOOKEEPER-4415,2021-11-15T04:52:02,2023-10-02T04:50:16,3.9.2,2024-03-12,1,3.7.0,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13409384,ZOOKEEPER-4409,2021-11-01T08:15:49,2024-05-02T08:19:51,3.9.3,2024-10-24,2,3.7.0|3.9.2,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13409306,ZOOKEEPER-4406,2021-10-31T05:41:56,2021-10-31T06:08:52,3.8.0,2022-03-07,2,3.7.0|3.6.3,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13405756,ZOOKEEPER-4394,2021-10-09T08:47:52,2024-09-19T15:34:35,3.9.3,2024-10-24,1,3.7.0,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13400335,ZOOKEEPER-4372,2021-09-09T21:50:35,2021-10-02T06:00:09,3.8.0,2022-03-07,2,3.7.0|3.6.3,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13398183,ZOOKEEPER-4360,2021-08-30T09:49,2021-09-02T16:51:39,3.6.4,2022-12-22,3,3.6.2|3.8.0|3.7.1,3.6.3,2021-04-13,3.6.2,2020-09-09
ZOOKEEPER,13393409,ZOOKEEPER-4342,2021-08-04T07:47:07,2021-08-25T12:15:33,3.7.1,2022-05-12,2,3.7.0|3.8.0,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13386457,ZOOKEEPER-4331,2021-06-29T08:15:33,2021-08-03T09:56:30,3.6.4,2022-12-22,5,3.5.5|3.7.0|3.6.3|3.7.1|3.5.10,3.6.3,2021-04-13,3.5.5,2019-05-20
ZOOKEEPER,13385346,ZOOKEEPER-4325,2021-06-23T07:48:40,2021-07-18T07:19:35,3.8.0,2022-03-07,1,3.6.2,3.6.3,2021-04-13,3.6.2,2020-09-09
ZOOKEEPER,13381685,ZOOKEEPER-4311,2021-06-02T11:57:37,2021-06-21T11:16:20,3.8.0,2022-03-07,2,3.7.0|3.6.3,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13381291,ZOOKEEPER-4309,2021-05-31T13:13:04,2021-06-14T09:46:28,3.7.1,2022-05-12,3,3.7.0|3.6.3|3.8.0,3.6.3,2021-04-13,3.7.0,2021-03-27
ZOOKEEPER,13378904,ZOOKEEPER-4296,2021-05-17T23:11:58,2023-02-27T14:41:55,3.9.0,2023-08-03,4,3.5.3|3.6.2|3.5.9|3.6.3,3.6.3,2021-04-13,3.5.3,2017-04-17
ZOOKEEPER,13369780,ZOOKEEPER-4275,2021-04-06T11:54:08,2021-04-19T06:55:14,3.6.4,2022-12-22,4,3.5.9|3.8.0|3.7.1|3.5.10,3.7.0,2021-03-27,3.5.9,2021-01-14
ZOOKEEPER,13367835,ZOOKEEPER-4262,2021-03-26T11:35:17,2021-04-21T17:20:49,3.5.10,2022-06-04,7,3.5.8|3.6.2|3.5.9|3.7.0|3.6.3|3.8.0|3.7.1,3.5.9,2021-01-14,3.5.8,2020-05-11
ZOOKEEPER,13367375,ZOOKEEPER-4260,2021-03-24T22:39:40,2021-03-29T16:18:49,3.6.3,2021-04-13,1,3.6.2,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13364060,ZOOKEEPER-4247,2021-03-12T08:49:46,2021-04-14T16:56:11,3.6.4,2022-12-22,3,3.6.2|3.8.0|3.7.1,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13363473,ZOOKEEPER-4240,2021-03-10T08:56:53,2025-08-19T17:59:48,3.9.4,2025-08-29,1,3.6.2,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13361134,ZOOKEEPER-4225,2021-02-26T08:35:09,2021-03-09T16:16:25,3.6.3,2021-04-13,3,3.6.2|3.5.9|3.7.0,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13361132,ZOOKEEPER-4224,2021-02-26T08:26:24,2021-03-09T11:19:09,3.6.3,2021-04-13,3,3.6.2|3.5.9|3.7.0,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13361115,ZOOKEEPER-4223,2021-02-26T07:12:46,2021-03-09T07:16:16,3.6.3,2021-04-13,1,3.6.2,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13360582,ZOOKEEPER-4222,2021-02-24T10:15:46,2021-02-25T12:07:16,3.6.3,2021-04-13,1,3.6.2,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13358672,ZOOKEEPER-4210,2021-02-15T14:50:13,2021-03-09T20:30:28,3.8.0,2022-03-07,3,3.4.14|3.6.2|3.7.0,3.5.9,2021-01-14,3.4.14,2019-04-02
ZOOKEEPER,13356741,ZOOKEEPER-4200,2021-02-04T11:34:08,2021-02-17T19:19:35,3.7.0,2021-03-27,2,3.6.2|3.5.9,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13356733,ZOOKEEPER-4199,2021-02-04T10:56:42,2021-02-18T08:42:19,3.7.0,2021-03-27,2,3.6.2|3.5.9,3.5.9,2021-01-14,3.6.2,2020-09-09
ZOOKEEPER,13343881,ZOOKEEPER-4020,2020-12-03T00:02:31,2024-12-07T05:59:33,3.9.4,2025-08-29,1,3.6.2,3.6.2,2020-09-09,3.6.2,2020-09-09
ZOOKEEPER,13341870,ZOOKEEPER-4011,2020-11-20T22:35:48,2020-11-22T03:48:50,3.6.3,2021-04-13,5,3.6.1|3.5.8|3.6.2|3.5.9|3.7.0,3.6.2,2020-09-09,3.6.1,2020-04-30
ZOOKEEPER,13341547,ZOOKEEPER-4007,2020-11-19T09:51:43,2021-02-08T12:11:13,3.8.0,2022-03-07,6,3.6.1|3.5.8|3.6.2|3.5.9|3.7.0|3.6.3,3.6.2,2020-09-09,3.6.1,2020-04-30
ZOOKEEPER,13339322,ZOOKEEPER-3996,2020-11-07T12:28:25,2023-06-19T09:07:58,3.9.0,2023-08-03,14,3.5.6|3.5.7|3.6.1|3.5.8|3.6.2|3.5.9|3.7.0|3.6.3|3.8.0|3.7.1|3.5.10|3.6.4|3.8.1|3.8.2,3.6.2,2020-09-09,3.5.6,2019-10-17
ZOOKEEPER,13339123,ZOOKEEPER-3994,2020-11-06T07:19:03,2020-11-16T15:39:17,3.7.0,2021-03-27,3,3.5.8|3.6.2|3.5.9,3.6.2,2020-09-09,3.5.8,2020-05-11
ZOOKEEPER,13338368,ZOOKEEPER-3988,2020-11-02T08:48:24,2022-01-25T13:12:44,3.6.4,2022-12-22,3,3.6.1|3.8.0|3.7.1,3.6.2,2020-09-09,3.6.1,2020-04-30
ZOOKEEPER,13336135,ZOOKEEPER-3979,2020-10-19T19:40:55,2020-11-16T08:05:10,3.7.0,2021-03-27,3,3.5.8|3.6.2|3.5.9,3.6.2,2020-09-09,3.5.8,2020-05-11
ZOOKEEPER,13330682,ZOOKEEPER-3951,2020-10-03T13:40:10,2020-10-12T06:44:31,3.7.0,2021-03-27,1,3.6.2,3.6.2,2020-09-09,3.6.2,2020-09-09
ZOOKEEPER,13329196,ZOOKEEPER-3944,2020-09-24T11:43:30,2020-09-28T07:27:38,3.7.0,2021-03-27,1,3.6.2,3.6.2,2020-09-09,3.6.2,2020-09-09
ZOOKEEPER,13328840,ZOOKEEPER-3943,2020-09-22T17:43:50,2021-01-24T18:19:31,3.8.0,2022-03-07,2,3.6.2|3.7.0,3.6.2,2020-09-09,3.6.2,2020-09-09
ZOOKEEPER,13327849,ZOOKEEPER-3937,2020-09-16T10:59:32,2020-09-28T07:23:57,3.7.0,2021-03-27,3,3.5.8|3.6.2|3.5.9,3.6.2,2020-09-09,3.5.8,2020-05-11
ZOOKEEPER,13326593,ZOOKEEPER-3931,2020-09-09T05:31:18,2021-04-04T05:15:34,3.6.3,2021-04-13,5,3.6.1|3.5.8|3.6.2|3.5.9|3.7.0,3.6.2,2020-09-09,3.6.1,2020-04-30
ZOOKEEPER,13324679,ZOOKEEPER-3920,2020-08-26T17:15:03,2020-09-10T03:11:15,3.6.2,2020-09-09,1,3.6.1,3.5.8,2020-05-11,3.6.1,2020-04-30
