loc,commentLines,nRevisions,nFix,avgChangeSet,cyclomaticComplexity,buggy
4.85203,5.247024,2.197225,0,2.917771,0,no
4.465908,3.806662,0.693147,0,3.218876,0,no
4.488636,3.828641,1.098612,0,2.890372,0,no
2.197225,3.091042,0.693147,0,3.465736,0,no
4.043051,3.044522,0.693147,0,2.564949,0,no
4.672829,3.663562,2.484907,0.693147,3.035827,0,no
2.772589,3.828641,0.693147,0,2.079442,0,no
4.779123,3.931826,1.098612,0.693147,2.70805,1.098612,no
5.147494,4.60517,1.386294,0,3.574217,0.693147,no
2.397895,4.189655,0.693147,0,2.564949,0,no
2.197225,2.890372,0.693147,0,3.555348,0,no
2.995732,3.091042,0.693147,0,3.465736,0,no
2.772589,3.828641,0.693147,0,2.079442,0,no
5.869297,3.526361,0.693147,0,2.079442,0.693147,no
2.639057,3.091042,0.693147,0,2.564949,0,no
5.278115,3.091042,0.693147,0,3.465736,0,no
5.541264,2.890372,0,0,0,0,no
4.043051,3.044522,0.693147,0,2.564949,0,no
2.197225,3.610918,0,0,0,0,no
1.791759,3.295837,0,0,0,0,no
1.609438,3.295837,0.693147,0,3.367296,0,no
4.174387,2.944439,0,0,0,0,no
2.70805,3.555348,0,0,0,0,no
5.541264,2.890372,0,0,0,0,no
1.791759,3.295837,0,0,0,0,no
2.995732,3.091042,0.693147,0,3.465736,0,no
2.944439,3.091042,0,0,0,0,no
4.59512,4.343805,1.098612,0,3.941582,0,no
3.951244,3.526361,1.791759,0.693147,2.322388,0,no
4.934474,4.204693,1.386294,0,3.705409,0,no
1.609438,3.367296,0,0,0,0,no
4.394449,3.091042,1.098612,0,3.701302,0,no
5.278115,3.135494,0,0,0,0,no
3.78419,3.258097,0,0,0,0,no
5.918894,5.855072,1.791759,0,3.653252,1.098612,no
3.555348,3.135494,1.098612,0,3.198673,0,no
3.850148,2.890372,1.098612,0,4.189655,0,no
4.59512,2.890372,1.098612,0,4.189655,0.693147,no
2.639057,3.73767,0,0,0,0,no
1.94591,3.295837,0,0,0,0,no
3.218876,3.135494,0.693147,0,3.465736,0,no
5.713733,3.044522,1.386294,0,3.884994,1.098612,no
2.397895,4.189655,0.693147,0,2.564949,0,no
3.258097,3.044522,0,0,0,0,no
2.70805,2.890372,0.693147,0,3.555348,0,no
5.273,3.091042,0.693147,0,3.465736,0.693147,no
4.290459,3.091042,1.609438,0,2.970414,0,no
3.828641,3.332205,0,0,0,0,no
4.812184,3.951244,0.693147,0,3.951244,0,no
5.187386,4.990433,0.693147,0,4.744932,0,no
2.639057,3.951244,1.098612,0,3.73767,0,no
5.805135,3.367296,1.609438,1.098612,2.047693,0,no
5.42495,3.73767,0.693147,0,3.218876,0,no
4.204693,3.401197,1.94591,0,2.833213,0.693147,no
3.332205,3.091042,1.386294,1.098612,1.845827,0,no
4.007333,3.258097,1.098612,0,4.189655,0,no
4.356709,4.248495,1.098612,0,3.417727,0,no
4.682131,4.060443,0,0,0,0,no
2.70805,3.828641,1.098612,0,3.960813,0,no
5.505332,3.951244,0.693147,0,3.367296,0,no
4.356709,3.78419,0.693147,0.693147,1.386294,0,no
2.995732,3.091042,0.693147,0,3.465736,0,no
3.637586,4.025352,0.693147,0,2.079442,0,no
2.70805,2.890372,0.693147,0,3.555348,0,no
3.73767,3.367296,1.098612,0,4.668145,0,no
3.89182,3.044522,1.098612,0,4.477337,0,no
4.174387,3.465736,0.693147,0.693147,0.693147,1.098612,no
4.477337,3.555348,1.386294,0,4.276666,0,no
3.89182,3.044522,2.079442,1.098612,2.258782,0,no
4.882802,3.828641,0.693147,0,3.218876,0,no
4.382027,2.995732,1.386294,0,2.397895,0,no
