Dataset,Classifier,FS,Balancing,Precision_Mean,Precision_CI95_Lower,Precision_CI95_Upper,Recall_Mean,Recall_CI95_Lower,Recall_CI95_Upper,AUC_Mean,AUC_CI95_Lower,AUC_CI95_Upper,Kappa_Mean,Kappa_CI95_Lower,Kappa_CI95_Upper,Num_Folds,NPofB20
DatasetClassiRealeseNormalized,Ibk,No,No,0.8711,0.8641,0.8781,0.8601,0.8516,0.8685,0.9269,0.9224,0.9314,0.8445,0.8371,0.8518,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,Ibk,No,Yes,0.7812,0.7732,0.7891,0.8839,0.8763,0.8915,0.9296,0.9253,0.9339,0.8006,0.7931,0.808,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,Ibk,Yes,No,0.8637,0.855,0.8724,0.8391,0.829,0.8492,0.9187,0.9137,0.9237,0.828,0.8187,0.8374,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,Ibk,Yes,Yes,0.778,0.7679,0.7881,0.8662,0.8571,0.8753,0.9213,0.9162,0.9265,0.7895,0.7795,0.7995,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,NaiveBayes,No,No,0.5246,0.5147,0.5346,0.5361,0.5239,0.5484,0.8573,0.8524,0.8622,0.4561,0.4451,0.4671,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,NaiveBayes,No,Yes,0.5059,0.4963,0.5154,0.5458,0.5339,0.5578,0.8583,0.8534,0.8632,0.4478,0.4371,0.4585,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,NaiveBayes,Yes,No,0.569,0.5585,0.5795,0.5326,0.5201,0.545,0.8823,0.8782,0.8864,0.4822,0.4711,0.4934,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,NaiveBayes,Yes,Yes,0.5414,0.5319,0.551,0.5706,0.5581,0.5831,0.882,0.8778,0.8861,0.484,0.4732,0.4948,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,RandomForest,No,No,0.9051,0.8987,0.9115,0.8282,0.8194,0.8369,0.9814,0.9795,0.9834,0.8446,0.8374,0.8518,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,RandomForest,No,Yes,0.8264,0.8187,0.8341,0.8853,0.8773,0.8933,0.9781,0.9762,0.98,0.8309,0.8237,0.8381,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,RandomForest,Yes,No,0.9004,0.8935,0.9072,0.8249,0.8142,0.8356,0.9787,0.9765,0.9808,0.8398,0.8315,0.8481,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalized,RandomForest,Yes,Yes,0.8212,0.8132,0.8293,0.8748,0.8659,0.8837,0.9746,0.9722,0.9769,0.8221,0.814,0.8302,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledIbk,No,No,0.8865,0.8793,0.8936,0.8602,0.8524,0.8681,0.9317,0.9281,0.9353,0.8534,0.8464,0.8604,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledIbk,No,Yes,0.8081,0.7997,0.8164,0.8817,0.8743,0.8891,0.9329,0.9289,0.9369,0.8171,0.8098,0.8245,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledIbk,Yes,No,0.8001,0.7877,0.8125,0.7107,0.6917,0.7297,0.8956,0.8905,0.9008,0.7155,0.6989,0.7321,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledIbk,Yes,Yes,0.6772,0.6599,0.6945,0.7875,0.774,0.801,0.8994,0.8941,0.9047,0.6808,0.6635,0.6982,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledNaiveBayes,No,No,0.53,0.5203,0.5398,0.5491,0.5374,0.5609,0.8919,0.8883,0.8956,0.4659,0.4553,0.4764,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledNaiveBayes,No,Yes,0.5232,0.5132,0.5332,0.5695,0.5571,0.5819,0.9034,0.9002,0.9066,0.4705,0.4598,0.4813,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledNaiveBayes,Yes,No,0.6923,0.6728,0.7119,0.6192,0.6025,0.6359,0.939,0.935,0.9429,0.597,0.5823,0.6118,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledNaiveBayes,Yes,Yes,0.5824,0.5672,0.5976,0.8061,0.7857,0.8265,0.9475,0.9438,0.9512,0.6095,0.5948,0.6242,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledRandomForest,No,No,0.8974,0.8901,0.9046,0.7937,0.7841,0.8033,0.9857,0.9846,0.9868,0.819,0.8112,0.8268,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledRandomForest,No,Yes,0.802,0.7945,0.8095,0.9031,0.8957,0.9106,0.9848,0.9837,0.986,0.8241,0.8173,0.8308,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledRandomForest,Yes,No,0.8482,0.8392,0.8572,0.7529,0.7415,0.7643,0.9787,0.9772,0.9802,0.7677,0.7577,0.7778,100,TO_CALCULATE_LATER
DatasetClassiRealeseNormalizedShuffled,ShuffledRandomForest,Yes,Yes,0.6626,0.6474,0.6778,0.9272,0.9204,0.9341,0.9777,0.9763,0.9792,0.7271,0.7147,0.7394,100,TO_CALCULATE_LATER
